                  omega_v                        N
                  1.63925                       97
                  1.64125                       97
                  1.64326                       97
                  1.64526                       97
                  1.64726                       97
                  1.64926                       97
                  1.65126                       97
                  1.65326                       97
                  1.65527                       97
                  1.65727                       97
                  1.65927                       97
                  1.66127                       97
                  1.66327                       97
                  1.66527                       97
                  1.66728                       97
                  1.66928                       97
                  1.67128                       97
                  1.67328                       97
                  1.67528                       97
                  1.67728                       97
                  1.67929                       97
                  1.68129                       97
                  1.68329                       97
                  1.68529                       97
                  1.68729                       97
                   1.6893                       97
                   1.6913                       97
                   1.6933                       97
                   1.6953                       97
                   1.6973                       97
                   1.6993                       97
                  1.70131                       97
                  1.70331                       97
                  1.70531                       97
                  1.70731                       97
                  1.70931                       97
                  1.71131                       97
                  1.71332                       97
                  1.71532                       97
                  1.71732                       97
                  1.71932                       97
                  1.72132                       97
                  1.72332                       97
                  1.72533                       97
                  1.72733                       97
                  1.72933                       97
                  1.73133                       97
                  1.73333                       97
                  1.73534                       97
                  1.73734                       97
                  1.73934                       97
                  1.74134                       97
                  1.74334                       97
                  1.74534                       97
                  1.74735                       97
                  1.74935                       97
                  1.75135                       97
                  1.75335                       97
                  1.75535                       97
                  1.75735                       97
                  1.75936                       97
                  1.76136                       97
                  1.76336                       97
                  1.76536                       97
                  1.76736                       97
                  1.76936                       97
                  1.77137                       97
                  1.77337                       97
                  1.77537                       97
                  1.77737                       97
                  1.77937                       97
                  1.78138                       97
                  1.78338                       97
                  1.78538                       97
                  1.78738                       97
                  1.78938                       97
                  1.79138                       97
                  1.79339                       97
                  1.79539                       97
                  1.79739                       97
                  1.79939                       97
                  1.80139                       97
                  1.80339                       97
                   1.8054                       97
                   1.8074                       97
                   1.8094                       97
                   1.8114                       97
                   1.8134                       97
                   1.8154                       97
                  1.81741                       97
                  1.81941                       97
                  1.82141                       97
                  1.82341                       97
                  1.82541                       97
                  1.82742                       97
                  1.82942                       97
                  1.83142                       97
                  1.83342                       97
                  1.83542                       97
                  1.83742                       97
                  1.83943                       97
                  1.84143                       97
                  1.84343                       97
                  1.84543                       97
                  1.84743                       97
                  1.84943                       97
                  1.85144                       97
                  1.85344                       97
                  1.85544                       97
                  1.85744                       97
                  1.85944                       97
                  1.86144                       97
                  1.86345                       97
                  1.86545                       97
                  1.86745                       97
                  1.86945                       97
                  1.87145                       97
                  1.87346                       97
                  1.87546                       97
                  1.87746                       97
                  1.87946                       97
                  1.88146                       97
                  1.88346                       97
